Name,Ingredients_List,Ingredients_Names,Procedure,Nutrition_Facts
zucchini-glass-noodles,"['4 ounces ground pork (or ground chicken)', '2 teaspoons water', '1 teaspoon Shaoxing wine', '1/2 teaspoon cornstarch', '3.5 ounces dried mung bean vermicelli (glass noodles)', '2 cups chicken stock', '1 tablespoon oyster sauce', '2 teaspoons light soy sauce', '1/2 teaspoon sugar', '1/4 teaspoon dark soy sauce', '1 tablespoon oil (any neutral oil)', '1 tablespoon ginger (finely minced)', '2 scallions (chopped; white and green parts separated)', '2 cloves garlic (minced)', '1 tablespoon Shaoxing wine', '1 pound zucchini (about 2 to 3 small to medium zucchini; cut in half lengthwise, then sliced on an angle into thin strips)']","['ground pork', 'water', 'Shaoxing wine', 'cornstarch', 'dried mung bean vermicelli', 'chicken stock', 'oyster sauce', 'light soy sauce', 'sugar', 'dark soy sauce', 'oil', 'ginger', 'scallions', 'garlic', 'Shaoxing wine', 'zucchini']","['In a medium bowl, combine the ground pork, water, Shaoxing wine, and cornstarch. Set aside.', 'Soak the dried noodles in a bowl of water for 10 minutes. Drain and set aside. In a large liquid measuring cup or bowl, combine the chicken stock, oyster sauce, light soy sauce, sugar, and dark soy sauce. Set aside.', 'In a wok over medium heat, add the oil, ginger, and the white parts of the scallions. Cook for about 1 minute.', 'Increase the heat to high, and add the ground meat and the garlic. Let that cook for another minute, until the meat turns opaque. Then add the Shaoxing wine.', 'Stir in the zucchini for 30 seconds, then add the stock mixture you made earlier. Bring to a simmer, then stir in the glass noodles. Simmer uncovered for about 3 minutes, stirring occasionally, until the liquid has reduced by half and the zucchini is tender.', 'Stir in the green parts of the scallions and serve immediately, or serve garnished with raw scallions—whichever you prefer.']","['4', 'Calories: 250kcal (13%)', 'Carbohydrates: 29g (10%)', 'Protein: 9g (18%)', 'Fat: 11g (17%)', 'Saturated Fat: 3g (15%)', 'Polyunsaturated Fat: 2g', 'Monounsaturated Fat: 5g', 'Trans Fat: 1g', 'Cholesterol: 20mg (7%)', 'Sodium: 376mg (16%)', 'Potassium: 522mg (15%)', 'Fiber: 2g (8%)', 'Sugar: 4g (4%)', 'Vitamin A: 289IU (6%)', 'Vitamin C: 22mg (27%)', 'Calcium: 43mg (4%)', 'Iron: 2mg (11%)']"
beef-and-pepper-stir-fry,"['12 ounces flank steak (sliced into thin strips)', '¼ teaspoon baking soda (optional tenderizer)', '2 teaspoons soy sauce', '½ teaspoon sesame oil', '1 tablespoon cornstarch', '1 teaspoon vegetable oil', '2 tablespoons oil', '3 cloves garlic (sliced)', '8 long hot green peppers (de-seeded and julienned into 3-inch/8cm strips)', '1 long hot red pepper (de-seeded and julienned into 3-inch/8cm strips)', '1 tablespoon Shaoxing wine', '½ teaspoon salt', '½ teaspoon sugar', '1 tablespoon light soy sauce', '1 teaspoon dark soy sauce', '1/8 teaspoon white pepper', '¼ cup chicken stock (optional)']","['flank steak', 'baking soda', 'soy sauce', 'sesame oil', 'cornstarch', 'vegetable oil', 'oil', 'garlic', 'long hot green peppers', 'long hot red pepper', 'Shaoxing wine', 'salt', 'sugar', 'light soy sauce', 'dark soy sauce', 'white pepper', 'chicken stock']","['Add all the marinade ingredients to the beef in a bowl, mix well, and set aside for 30 minutes at room temperature.', ""When you're ready to cook, place a wok over high heat until it's almost smoking, then add the oil. Sear the beef until it's just browned but still a little rare. Turn off the heat while you transfer the beef to a separate bowl. Leave any oil/fat in the wok."", 'Heat the wok back up over medium-high heat and add the garlic and peppers. Stir-fry for 20 seconds, then spread the Shaoxing wine around the wok to de-glaze it. ', 'Stir-fry for another 20 seconds and add the beef back to the wok along with any juices from the bowl. Add salt, sugar, light soy sauce, dark soy sauce, and white pepper. Turn the heat back up to high and stir-fry for another 1 to 2 minutes, or until the peppers turn darker.', 'If you like more sauce, add the chicken stock to further de-glaze the wok and reduce the liquid slightly. The cornstarch from the marinade will help thicken the sauce. Plate and serve immediately with rice.']","['4', 'Calories: 249kcal (12%)', 'Carbohydrates: 11g (4%)', 'Protein: 20g (40%)', 'Fat: 13g (20%)', 'Saturated Fat: 3g (15%)', 'Cholesterol: 51mg (17%)', 'Sodium: 930mg (39%)', 'Potassium: 361mg (10%)', 'Fiber: 3g (12%)', 'Sugar: 5g (6%)', 'Vitamin A: 105IU (2%)', 'Vitamin C: 27.6mg (33%)', 'Calcium: 22mg (2%)', 'Iron: 1.6mg (9%)']"
spicy-enoki-mushrooms-garlic,"['8 cloves garlic (minced)', '1 Thai chili (chopped)', '3 tablespoons neutral oil', '1 tablespoon oyster sauce', '1 tablespoon light soy sauce', '1/2 teaspoon dark soy sauce', '1/4 teaspoon sugar', '14 ounces fresh enoki mushrooms (divided into bundles and washed)', '1 cup garlic chives (cut into 2-inch/5cm lengths)']","['garlic', 'Thai chili', 'neutral oil', 'oyster sauce', 'light soy sauce', 'dark soy sauce', 'sugar', 'fresh enoki mushrooms', 'garlic chives']","['Put the garlic and Thai chili in a small heatproof bowl. Heat the oil in a medium skillet over medium-high heat until shimmering. Pour the hot oil over the garlic and chili—it will sizzle. Then add the oyster sauce, light soy sauce, dark soy sauce, and sugar. ', 'Put the pan back over the heat, and add half the enoki mushrooms to the pan in 1 layer, followed by the chives, and then the rest of the mushrooms. Pour the sauce mixture over the mushrooms.', 'Bring to a simmer, cover, and simmer for 1-2 minutes, just until the mushrooms and chives are wilted. Serve immediately.']","['2', 'Calories: 111kcal (6%)', 'Carbohydrates: 23g (8%)', 'Protein: 8g (16%)', 'Fat: 1g (2%)', 'Saturated Fat: 1g (5%)', 'Polyunsaturated Fat: 1g', 'Monounsaturated Fat: 1g', 'Sodium: 841mg (35%)', 'Potassium: 852mg (24%)', 'Fiber: 6g (24%)', 'Sugar: 2g (2%)', 'Vitamin A: 889IU (18%)', 'Vitamin C: 19mg (23%)', 'Calcium: 45mg (5%)', 'Iron: 3mg (17%)']"
chao-he-cai-harmony-stir-fry,"['3 ounces dried sweet potato noodles', '1 teaspoon dark soy sauce', '1/2 teaspoon sesame oil', '2 tablespoons water', '6 ounces bean sprouts (mung bean or soybean sprouts)', '3 large eggs', '1 teaspoon Shaoxing wine', '1/4 teaspoon salt', '4 tablespoons oil (any neutral oil)', '1 teaspoon ginger (minced)', '1 cup carrots (julienned)', '4 cloves garlic (minced; divided)', '1 tablespoon oyster sauce', '1/2 tablespoon light soy sauce', '1/2 teaspoon sugar', '1/2 teaspoon Chinese black vinegar', '1/4 teaspoon Sichuan peppercorn powder (or white pepper)', '4 ounces garlic chives (cut into 2-inch/5cm pieces)', '2 tablespoons water (optional; if needed)', 'salt (to taste)']","['dried sweet potato noodles', 'dark soy sauce', 'sesame oil', 'water', 'bean sprouts', 'large eggs', 'Shaoxing wine', 'salt', 'oil', 'ginger', 'carrots', 'garlic', 'oyster sauce', 'light soy sauce', 'sugar', 'Chinese black vinegar', 'Sichuan peppercorn powder', 'garlic chives', 'water', 'salt']","['Cook the sweet potato noodles according to the package instructions. I cooked my noodles in boiling water for 7 minutes. Lift the noodles out of the water (you will need this water again if using soybean sprouts), and transfer them to a medium bowl. Add the dark soy sauce, sesame oil, and water. Mix and set aside.', 'If you are using soybean sprouts like I did, bring the cooked noodle water back up to a boil, and blanch the soybean sprouts for 1 minute. Drain and set aside. (Skip this step if you are using mung bean sprouts, as they cook much faster.)', 'In a bowl, beat the eggs along with the Shaoxing wine and salt.', 'Preheat your wok over medium-high heat until it starts to smoke lightly. Add 2 tablespoons (half) of the oil to coat the bottom of the wok, and reduce the heat to medium low. Add the eggs and cook until they’re lightly scrambled but still a little runny. Remove the eggs from the wok and set aside.', 'Add the remaining oil to the wok over medium heat, and cook the ginger and carrot for about 1 minute. Then add half of the minced garlic along with the bean sprouts. Turn up the heat to medium-high and stir to mix everything well.', 'Reduce the heat to low while you add the oyster sauce, light soy sauce, sugar, black vinegar, and Sichuan peppercorn powder (or white pepper). Increase the heat to high and stir-fry until the ingredients are evenly mixed in.', 'Add the chives, cooked noodles, and cooked eggs, and stir-fry until the ingredients are evenly incorporated. At this point, if the contents of the wok look dry, add a couple tablespoons of water to loosen the noodles and to prevent them from sticking.', 'Add the rest of the minced garlic and salt to taste. Stir-fry until the chives are wilted. The dish should have a nice saucy sheen, without any standing sauce. Serve. ']","['4', 'Calories: 297kcal (15%)', 'Carbohydrates: 28g (9%)', 'Protein: 7g (14%)', 'Fat: 18g (28%)', 'Saturated Fat: 2g (10%)', 'Polyunsaturated Fat: 5g', 'Monounsaturated Fat: 10g', 'Trans Fat: 1g', 'Cholesterol: 123mg (41%)', 'Sodium: 551mg (23%)', 'Potassium: 322mg (9%)', 'Fiber: 3g (12%)', 'Sugar: 5g (6%)', 'Vitamin A: 6768IU (135%)', 'Vitamin C: 25mg (30%)', 'Calcium: 74mg (7%)', 'Iron: 2mg (11%)']"
spicy-sichuan-boiled-tofu-shuizhu,"['10-11 ounces pressed tofu (豆腐干 – dòufu gān; either spiced or plain, cut crosswise into thin strips)', '4 tablespoons vegetable oil (or other neutral oil)', '1 cup soybean sprouts (trimmed)', '7 ounces enoki mushrooms (fresh mushrooms; ends trimmed)', '1 slice ginger (about 2 in/5cm long, and 1/8-inch/3mm thick)', '2 teaspoons Sichuan peppercorns', '2 scallions (white parts and green parts separated and chopped) ', '2 tablespoons spicy bean paste', '1 tablespoon tomato paste', '1 1/2 cups water', '2 teaspoons sugar', '2 teaspoons light soy sauce', '1 1/2 teaspoons cornstarch (mixed into a slurry with 1 tablespoon/15 ml water)', '1 tablespoon garlic (minced; 1 tablespoon = about 3 to 4 cloves)', '1/4 teaspoon dried Sichuan chili flakes', '1/4 teaspoon Sichuan peppercorn powder', '1 tablespoon cilantro (chopped)']","['pressed tofu', 'vegetable oil', 'soybean sprouts', 'enoki mushrooms', 'ginger', 'Sichuan peppercorns', 'scallions', 'spicy bean paste', 'tomato paste', 'water', 'sugar', 'light soy sauce', 'cornstarch', 'garlic', 'dried Sichuan chili flakes', 'Sichuan peppercorn powder', 'cilantro']","['Bring a medium pot of water to a boil. Add the tofu slices and blanch them for 30 seconds. Drain and set aside.', 'Heat 1 tablespoon of oil in your wok over high heat. Stir-fry the soybean sprouts for about 2-3 minutes. Add the enoki mushrooms, spreading the mushrooms out in a single layer, and leaving them for about 20 seconds. Then stir-fry until the mushrooms have wilted, 1 minute. Turn off the heat, pick a large heatproof serving bowl with some depth, and spread the bean sprouts and enoki mushrooms around the bottom of the bowl.', 'Add another tablespoon of oil to the wok over medium-low heat, along with the ginger slice and Sichuan peppercorns. Cook for 3 minutes, until fragrant, then remove the peppercorns and ginger, leaving the oil behind in the wok.', 'To the oil, add the white parts of the scallions, the spicy bean paste, and tomato paste. Fry for 1 minute, until the oil is red, then stir in the blanched tofu. Stir-fry for 30 seconds.', 'Then add the water, sugar, and light soy sauce. Bring to a simmer. Then add the cornstarch slurry. When it’s thickened, add this mixture on top of the mushrooms and bean sprouts.', 'Top with the minced garlic, chili flakes, and Sichuan peppercorn powder on top. In a small saucepan, heat the remaining 2 tablespoons of oil until it shimmers. Pour hot oil into the garlic, chili, and peppercorn powder; the ingredients should sizzle immediately. Then sprinkle over the green parts of the scallions and the cilantro. Serve immediately.']","['4', 'Calories: 235kcal (12%)', 'Carbohydrates: 16g (5%)', 'Protein: 10g (20%)', 'Fat: 16g (25%)', 'Saturated Fat: 1g (5%)', 'Polyunsaturated Fat: 5g', 'Monounsaturated Fat: 9g', 'Trans Fat: 1g', 'Sodium: 452mg (19%)', 'Potassium: 444mg (13%)', 'Fiber: 3g (12%)', 'Sugar: 6g (7%)', 'Vitamin A: 183IU (4%)', 'Vitamin C: 6mg (7%)', 'Calcium: 51mg (5%)', 'Iron: 2mg (11%)']"
shortcut-wonton-soup-base,"['2 teaspoons light soy sauce', '1/4 teaspoon sugar', '1/4 teaspoon sesame oil', '1 tablespoon scallions (finely chopped)', '2 pinches white pepper', '2 1/2 cups boiling water', 'salt (to taste)', '1 tablespoon cilantro (chopped)', '1 teaspoon lard', '1 pinch dried shrimp flakes', '1/4 teaspoon mushroom powder', '1/4 teaspoon dark soy sauce (optional)', 'chili oil (to taste)']","['light soy sauce', 'sugar', 'sesame oil', 'scallions', 'white pepper', 'boiling water', 'salt', 'cilantro', 'lard', 'dried shrimp flakes', 'mushroom powder', 'dark soy sauce', 'chili oil']","['While your wontons are boiling, prepare your serving bowl. Into the bowl, add the light soy sauce, sugar, sesame oil, chopped scallions, and white pepper. ', 'As desired, add the optional ingredients in to taste, like the cilantro, lard, dried shrimp flakes, mushroom powder, dark soy sauce, and chili oil.', 'When the wontons are done cooking, add them to the bowl, and then add the boiling water (if you’re feeling super lazy, you can even use the water the wontons were cooked in—unless it is very starchy). Stir, and season with salt to taste if desired. Serve! ']","['1', 'Calories: 94kcal (5%)', 'Carbohydrates: 4g (1%)', 'Protein: 3g (6%)', 'Fat: 8g (12%)', 'Saturated Fat: 2g (10%)', 'Polyunsaturated Fat: 1g', 'Monounsaturated Fat: 4g', 'Cholesterol: 16mg (5%)', 'Sodium: 820mg (34%)', 'Potassium: 49mg (1%)', 'Fiber: 1g (4%)', 'Sugar: 1g (1%)', 'Vitamin A: 87IU (2%)', 'Vitamin C: 2mg (2%)', 'Calcium: 34mg (3%)', 'Iron: 1mg (6%)']"
mapo-eggplant,"['6 ounces ground pork', '2 teaspoons water', '1 teaspoon Shaoxing wine', '3/4 teaspoon cornstarch', '1/8 teaspoon baking soda', '1/8 teaspoon white pepper', '1 pound Japanese or Chinese eggplant (1 pound = about 2 to 3 Chinese/Japanese eggplants; or substitute 1 large regular globe eggplant)', '5 tablespoons vegetable oil (or any neutral oil, divided)', '3 tablespoons fresh ginger (finely minced; 3 tablespoons = from a 2-inch/5cm piece)', '3 tablespoons garlic (finely minced; from 9 to 10 cloves)', '1/2 to 2 teaspoons ground Sichuan peppercorns (we prefer the higher end of that range, but if that’s too strong for you, add it to taste!)', '1 1/2 tablespoons spicy bean sauce', '1 1/2 tablespoons fermented black beans (rinsed and drained)', '1 1/2 cups low-sodium chicken stock (or water, but stock is preferred)', '1/4 cup  homemade chili oil (standing oil only, minimal flakes)', '1 1/2 teaspoons sugar', '1/4 teaspoon sesame oil', '1  teaspoon cornstarch (mixed into a slurry with 1/4 cup/60 ml water)', '1 scallion (chopped)']","['ground pork', 'water', 'Shaoxing wine', 'cornstarch', 'baking soda', 'white pepper', 'Japanese or Chinese eggplant', 'vegetable oil', 'fresh ginger', 'garlic', 'ground Sichuan peppercorns', 'spicy bean sauce', 'fermented black beans', 'low-sodium chicken stock', ' homemade chili oil', 'sugar', 'sesame oil', 'cornstarch', 'scallion']","['In a medium bowl, combine the ground pork, water, Shaoxing wine, cornstarch, baking soda, and white pepper. Set aside to marinate while you prepare the rest of the ingredients.', 'Right before you’re ready to cook, cut the eggplants on an angle into triangular chunks, about 1-inch thick (rotating the eggplant as you cut will give you chunks with sharp angles and a vaguely triangular shape). Don’t let the pieces sit out too long, or they will turn brown.', 'Heat your wok over medium-high heat until it’s smoking lightly. Pour 3 tablespoons of oil around the perimeter. Spread the eggplant in a single layer in the oiled wok. Reduce the heat to medium. Cook for 7-8 minutes, stirring occasionally until it starts to turn golden, soft, and translucent. (If you have a smaller wok, you can do this step in two batches to ensure the eggplant cooks evenly.) Remove the eggplant from the wok and set on a plate.', 'With your wok set over medium heat, add the remaining 2 tablespoons of oil. Add the ginger, and cook for 1 minute, until fragrant. Add the garlic. Fry for another minute, and then turn up the heat to high and add the ground pork. Break up the meat and fry it until it’s cooked through.', 'Stir in the Sichuan peppercorns and the spicy bean sauce. Cook for 1 minute, until the sauce is an even color.', ""Then add the fermented black beans, chicken stock, chili oil, sugar, and sesame oil. Let this simmer for a minute or so. While that's happening, put a ¼ cup of water in a small bowl with your cornstarch and mix until thoroughly combined."", 'Stir the eggplant into the sauce. Simmer, covered, for 5 minutes. After 5 minutes, add the cornstarch slurry, and simmer for 1 minute or so to allow the sauce to thicken. Stir in the scallions until they are just wilted, and serve. ']","['4', 'Calories: 476kcal (24%)', 'Carbohydrates: 15g (5%)', 'Protein: 13g (26%)', 'Fat: 42g (65%)', 'Saturated Fat: 7g (35%)', 'Polyunsaturated Fat: 7g', 'Monounsaturated Fat: 25g', 'Trans Fat: 1g', 'Cholesterol: 31mg (10%)', 'Sodium: 520mg (22%)', 'Potassium: 516mg (15%)', 'Fiber: 5g (20%)', 'Sugar: 7g (8%)', 'Vitamin A: 61IU (1%)', 'Vitamin C: 6mg (7%)', 'Calcium: 36mg (4%)', 'Iron: 1mg (6%)']"
chinese-yellow-chives-pork,"['8 ounces pork shoulder (or pork loin, partially frozen and cut into thin strips)', '1 tablespoon water', '1 teaspoon cornstarch', '2 teaspoons vegetable oil', '2 teaspoons oyster sauce', '1/8 teaspoon baking soda', '2/3 cup low-sodium chicken stock', '1 teaspoon clear rice wine', '1 teaspoon oyster sauce', '1 teaspoon soy sauce', '1/4 teaspoon sesame oil', '1/2 teaspoon salt', '1/8 teaspoon sugar', '1/8 teaspoon ground white pepper (or to taste)', '1 1/2 tablespoons vegetable oil (or any neutral oil)', '1 1/2 teaspoons cornstarch (mixed into a slurry with 2 teaspoons water)', '8 ounces Chinese yellow chives (washed, drained, and cut into 2 1/2-inch/6 cm lengths)']","['pork shoulder', 'water', 'cornstarch', 'vegetable oil', 'oyster sauce', 'baking soda', 'low-sodium chicken stock', 'clear rice wine', 'oyster sauce', 'soy sauce', 'sesame oil', 'salt', 'sugar', 'ground white pepper', 'vegetable oil', 'cornstarch', 'Chinese yellow chives']","['In a medium bowl, velvet the pork by combining the pork strips with the water, cornstarch, vegetable oil, oyster sauce, and baking soda. Mix until uniform and the pork is completely coated. Set aside for 1 hour or overnight in the refrigerator.', 'In a bowl, make the sauce mixture by combining the chicken stock, clear rice wine, oyster sauce, soy sauce, sesame oil, salt, sugar, and white pepper. Set aside.', 'Heat your wok until just smoking and add the oil around the perimeter of the wok. Add the marinated pork (it should be at room temperature) to the wok in one layer, and sear for 1 minute. Stir-fry the pork in the hot wok for another 30 seconds, or until the pork is mostly cooked. ', 'Still over high heat, pour in the pre-mixed sauce to deglaze the wok. Let everything come up to a boil and slowly add half of the cornstarch slurry while stirring constantly to thicken the sauce.', 'Next, stir in the yellow chives. Mix well and continue to stir-fry for another minute. Add more cornstarch slurry to thicken up the sauce if needed, and stir for another 15 seconds. Serve!']","['2', 'Calories: 302kcal (15%)', 'Carbohydrates: 10g (3%)', 'Protein: 19g (38%)', 'Fat: 21g (32%)', 'Saturated Fat: 3g (15%)', 'Polyunsaturated Fat: 5g', 'Monounsaturated Fat: 12g', 'Trans Fat: 1g', 'Cholesterol: 46mg (15%)', 'Sodium: 1066mg (44%)', 'Potassium: 654mg (19%)', 'Fiber: 3g (12%)', 'Sugar: 2g (2%)', 'Vitamin A: 4940IU (99%)', 'Vitamin C: 66mg (80%)', 'Calcium: 122mg (12%)', 'Iron: 3mg (17%)']"
tortilla-jianbing-wraps,"['1 Chinese fried dough stick (youtiao; store-bought is fine)', '2 large whole wheat flour tortillas (large enough to fit in a 10-inch / 25 cm pan)', 'vegetable oil (or any neutral oil)', '2 large eggs (beaten)', '2 teaspoons sweet bean sauce (tian mian jiang) (or to taste; can also substitute hoisin sauce)', '2 teaspoons spicy bean sauce (la doubanjiang) (or to taste)', '2 teaspoons chili oil (optional)', '2 teaspoons toasted sesame seeds', '2 scallions (finely chopped)', '2-3 tablespoons cilantro (finely chopped)']","['Chinese fried dough stick', 'large whole wheat flour tortillas', 'vegetable oil', 'large eggs', 'sweet bean sauce (tian mian jiang)', 'spicy bean sauce (la doubanjiang)', 'chili oil', 'toasted sesame seeds', 'scallions', 'cilantro']","['We use frozen, store-bought youtiao for this recipe. To toast it, pop one in the oven or toaster oven for 3-5 minutes at 350°F (lean towards the lower end of the range if it has already thawed in your refrigerator). Leave it in the oven, turned off, while you prepare the jian bing so it stays warm, but doesn’t get too crunchy and hard.', 'Heat a large cast iron or nonstick skillet over medium heat. Add a drizzle of oil, and place a tortilla in the hot skillet, and toast each side for 15-20 seconds, until just warmed through but not crisp. Remove from the heat and set aside.', 'With the pan still over medium heat, add 1 teaspoon of oil to the pan (you may need more if you are not using a non-stick skillet). Pour one beaten egg into the center of the pan, and immediately swirl it around into an approximate circle shape. Place the wrap on top of the egg, pressing the wrap and the egg together.', 'Give the wrap a clockwise twist to loosen the egg from the pan. Flip the wrap, so the egg side is facing up. The egg should be tender and just cooked enough that it doesn’t drip when flipped. If bubbles form, pop them with a fork.', 'Use a pastry brush to brush a thin layer of sweet bean sauce over the egg in a thin layer, followed by a thin layer of spicy bean paste, and a drizzle of chili oil to taste. If you’re using all three, be mindful of salt levels. A thin layer goes a long way. ', 'Sprinkle 1 teaspoon of toasted sesame seeds evenly over the top, followed by half the cilantro, and half the scallions.', 'Place the toasted youtiao in the center. Using a spatula (or two), you can roll the jianbing one of two ways: like a burrito where you fold one side in (the ‘bottom’) and then fold the two “wings” on either side in, or simply roll it into a log with both ends open. It helps to use your spatula to make an indentation along each fold so that it stays rolled. Let cook for 1 minute on the seal-side so the jian bing stays closed and has a chance to brown lightly.', 'Repeat with the remaining ingredients to make a second jianbing, and enjoy!']","['2', 'Calories: 480kcal (24%)', 'Carbohydrates: 46g (15%)', 'Protein: 13g (26%)', 'Fat: 27g (42%)', 'Saturated Fat: 4g (20%)', 'Polyunsaturated Fat: 4g', 'Monounsaturated Fat: 10g', 'Trans Fat: 1g', 'Cholesterol: 164mg (55%)', 'Sodium: 696mg (29%)', 'Potassium: 211mg (6%)', 'Fiber: 4g (16%)', 'Sugar: 6g (7%)', 'Vitamin A: 385IU (8%)', 'Vitamin C: 2mg (2%)', 'Calcium: 137mg (14%)', 'Iron: 2mg (11%)']"
pork-pan-fried-noodles,"['12 ounces boneless pork shoulder or pork butt (partially frozen and cut into thin strips)', '2 tablespoons water', '2 teaspoons cornstarch', '2 teaspoons vegetable oil (or any neutral-flavored oil)', '2 teaspoons Shaoxing wine', '1 1/2 teaspoons oyster sauce', '12 ounces fresh Hong-Kong-Style noodles for pan-frying  (or 7.5 ounces/210g dried noodles, about 5 bundles)', '1 cup low-sodium chicken stock', '1 tablespoon cornstarch', '1  tablespoon light soy sauce', '1 tablespoon oyster sauce', '1/2 teaspoon sesame oil', '1/4 teaspoon sugar', '1/8 teaspoon white pepper', '4 tablespoons vegetable oil', '2 cloves garlic (chopped)', '2/3 cup Chinese celery (or regular celery, julienned)', '1 small carrot (julienned, about 1 ounce/30g)', '1 tablespoon Shaoxing wine', '1 1/2 cups mung bean sprouts', '2/3 cup Chinese chives (also known as garlic chives, cut into 2-inch/5cm pieces)']","['boneless pork shoulder or pork butt', 'water', 'cornstarch', 'vegetable oil', 'Shaoxing wine', 'oyster sauce', 'fresh Hong-Kong-Style noodles for pan-frying ', 'low-sodium chicken stock', 'cornstarch', 'light soy sauce', 'oyster sauce', 'sesame oil', 'sugar', 'white pepper', 'vegetable oil', 'garlic', 'Chinese celery', 'small carrot', 'Shaoxing wine', 'mung bean sprouts', 'Chinese chives']","['In a medium bowl, combine the strips of pork with the water, cornstarch, oil, Shaoxing wine, and oyster sauce. Mix with your hands until the pork absorbs all the marinade. Set aside to marinate for 20-30 minutes.', 'Bring a large pot of water to a boil. Add the noodles, and cook for 30 seconds to 1 minute for fresh noodles, or 2 minutes for dried. Drain well.', 'In a liquid measuring cup, combine the chicken stock, cornstarch, light soy sauce, oyster sauce, sesame oil, sugar, and white pepper. Mix well and set aside.', 'In a non-stick pan or wok, heat 2 tablespoons of vegetable oil over medium heat. Add the noodles in one even layer, and fry for 8 to 10 minutes over medium heat, until golden brown and crispy. Flip the noodles, add an additional 1 tablespoon oil, and fry the other side for another 8 minutes until golden. Remove the noodles to a large plate or bowl.', 'Heat a clean, dry wok over high heat until lightly smoking. Add the remaining 1 tablespoon of oil, and spread it around the perimeter of the wok. Add the shredded pork in a single layer, and stir-fry until the pork is opaque. Remove the pork from the wok and set aside. ', 'To the remaining drippings in the wok, add the garlic. Cook for 10 seconds, then add the celery and carrot. Stir-fry for 1 minute, and then add the Shaoxing wine to deglaze. Mix the sauce mixture you made earlier to ensure the cornstarch is incorporated, and pour it into the wok. Bring to a simmer, and allow the sauce to thicken.', 'When the sauce is thick enough to coat the back of a spoon, add the pork back to the wok, along with the bean sprouts and chives. Cook for 30 seconds, until the bean sprouts are tender but still a little crisp, and the chives are wilted. Serve the mixture on top of the bed of noodles.']","['4', 'Calories: 542kcal (27%)', 'Carbohydrates: 57g (19%)', 'Protein: 30g (60%)', 'Fat: 21g (32%)', 'Saturated Fat: 2g (10%)', 'Polyunsaturated Fat: 5g', 'Monounsaturated Fat: 12g', 'Trans Fat: 1g', 'Cholesterol: 92mg (31%)', 'Sodium: 780mg (33%)', 'Potassium: 549mg (16%)', 'Fiber: 2g (8%)', 'Sugar: 5g (6%)', 'Vitamin A: 2934IU (59%)', 'Vitamin C: 11mg (13%)', 'Calcium: 41mg (4%)', 'Iron: 2mg (11%)']"
vegan-detox-soup,"['2 tablespoons olive oil or any neutral-flavored cooking oil', '2 slices ginger (julienned—or kept whole if you don’t like eating the ginger)', '8 ounces tomato (cut into large chunks)', '4 ounces mushroom (such as button, cremini, oyster, or shiitake, thinly sliced)', '4 cups water', '8 ounces silken tofu (cubed)', '2 tablespoons dried seaweed (wakame)', '2 teaspoons light soy sauce', '1/8 teaspoon white pepper powder', '1/2 teaspoon Chinese black vinegar', '1/4 teaspoon sesame oil', '4 ounces baby spinach', 'salt to taste', '2 tablespoons scallions and/or cilantro (chopped)']","['olive oil', 'ginger', 'tomato', 'mushroom', 'water', 'silken tofu', 'dried seaweed', 'light soy sauce', 'white pepper powder', 'Chinese black vinegar', 'sesame oil', 'baby spinach', 'salt', 'scallions and/or cilantro']","['Heat a soup pot over medium heat. Add the olive oil, and followed by the ginger. Cook for 30 seconds, then add the tomato chunks. Cook for a few minutes until the tomatoes are softened around the edges. ', 'Now stir in mushrooms, and cook for another 2-3 minutes. Then add the water, silken tofu, dried seaweed, light soy sauce and white pepper powder. Cover, bring to a boil, and simmer for 3 minutes over medium heat.', 'Finally, stir in the black vinegar, sesame oil, baby spinach, and salt to taste. When the soup has come back up to a boil and the spinach has wilted down, top with the scallions and/or cilantro and serve. ']","['2', 'Calories: 246kcal (12%)', 'Carbohydrates: 13g (4%)', 'Protein: 11g (22%)', 'Fat: 18g (28%)', 'Saturated Fat: 3g (15%)', 'Polyunsaturated Fat: 4g', 'Monounsaturated Fat: 11g', 'Sodium: 431mg (18%)', 'Potassium: 1012mg (29%)', 'Fiber: 4g (16%)', 'Sugar: 6g (7%)', 'Vitamin A: 6327IU (127%)', 'Vitamin C: 34mg (41%)', 'Calcium: 133mg (13%)', 'Iron: 4mg (22%)']"
